Musteri_ID,telefon,Ad_Soyad,Cinsiyet,Yas_Grubu,Magaza_Tipi,Mevsim,Hafta_Ici_Hafta_Sonu,Islem_Saati_Dilimi,Sadakat_Puani,Promosyon_Hassasiyeti_Skoru,Gecen_Gun_Sayisi,Coklu_Kategori_Alim_Skoru,Sepet_Tutari_TL,Makyaj_Alisveris_Sayisi,Gecen_Gun_Makyaj,Makyaj_Ort_Alim_Araligi,Makyaj_Tuketim_Orani,Cilt_Bakimi_Alisveris_Sayisi,Gecen_Gun_Cilt_Bakimi,Cilt_Bakimi_Ort_Alim_Araligi,Cilt_Bakimi_Tuketim_Orani,Agiz_Bakimi_Alisveris_Sayisi,Gecen_Gun_Agiz_Bakimi,Agiz_Bakimi_Ort_Alim_Araligi,Agiz_Bakimi_Tuketim_Orani,Parfum_Alisveris_Sayisi,Gecen_Gun_Parfum,Parfum_Ort_Alim_Araligi,Parfum_Tuketim_Orani,Sac_Bakimi_Alisveris_Sayisi,Gecen_Gun_Sac_Bakimi,Sac_Bakimi_Ort_Alim_Araligi,Sac_Bakimi_Tuketim_Orani,Vucut_Bakimi_Banyo_Alisveris_Sayisi,Gecen_Gun_Vucut_Bakimi_Banyo,Vucut_Bakimi_Banyo_Ort_Alim_Araligi,Vucut_Bakimi_Banyo_Tuketim_Orani,El_Ayak_Bakimi_Alisveris_Sayisi,Gecen_Gun_El_Ayak_Bakimi,El_Ayak_Bakimi_Ort_Alim_Araligi,El_Ayak_Bakimi_Tuketim_Orani,Gunes_Bronzlasma_Alisveris_Sayisi,Gecen_Gun_Gunes_Bronzlasma,Gunes_Bronzlasma_Ort_Alim_Araligi,Gunes_Bronzlasma_Tuketim_Orani,Aksesuar_Guzellik_Aletleri_Alisveris_Sayisi,Gecen_Gun_Aksesuar_Guzellik_Aletleri,Aksesuar_Guzellik_Aletleri_Ort_Alim_Araligi,Aksesuar_Guzellik_Aletleri_Tuketim_Orani,Erkek_Bakim_Alisveris_Sayisi,Gecen_Gun_Erkek_Bakim,Erkek_Bakim_Ort_Alim_Araligi,Erkek_Bakim_Tuketim_Orani,Onerilen_Kategori,Onerilen_Urun,Teklif_Kabul
MST-00011,05426664789,Esra Kurt,Kadın,18-24,Cadde,Yaz,0,Öğle,398,0.63,3,0.27,3193.43,9,37,45,0.82,0,0,0,0.0,4,17,36,0.47,3,40,41,0.98,0,0,0,0.0,5,60,31,1.94,2,87,36,2.42,1,28,0,0.0,4,10,38,0.26,0,0,0,0.0,Vücut Bakımı & Banyo,Banyo Bombası,1
MST-00012,05446743066,Cem Öztürk,Erkek,35-49,Cadde,Kış,0,Öğle,3586,0.28,38,0.38,1586.63,0,0,0,0.0,4,18,46,0.39,4,86,37,2.32,3,81,48,1.69,4,17,16,1.06,2,63,41,1.54,3,28,33,0.85,4,29,50,0.58,0,0,0,0.0,0,0,0,0.0,Erkek Bakım,Tıraş Köpüğü,0
MST-00013,05357113790,Arda Özkan,Erkek,25-34,Cadde,Sonbahar,0,Gece,1047,0.11,64,0.24,1426.52,1,69,0,0.0,2,29,49,0.59,2,12,22,0.55,1,66,0,0.0,2,65,23,2.83,1,31,0,0.0,1,29,0,0.0,4,85,25,3.4,0,0,0,0.0,6,4,55,0.07,Parfüm,EDT Parfüm,0
MST-00014,05325721339,Kübra Yılmaz,Kadın,25-34,AVM,Sonbahar,0,Akşam,1942,0.78,54,0.71,3219.35,6,59,47,1.26,1,40,0,0.0,4,55,15,3.67,1,22,0,0.0,5,41,27,1.52,0,0,0,0.0,1,49,0,0.0,4,76,31,2.45,3,34,55,0.62,0,0,0,0.0,Cilt Bakımı,Temizleme Jeli,1
MST-00015,05554275709,Büşra Aslan,Kadın,18-24,AVM,Sonbahar,1,Öğle,3130,0.24,36,0.28,1887.11,5,23,39,0.59,3,3,15,0.2,2,18,21,0.86,5,37,31,1.19,3,55,35,1.57,2,18,38,0.47,5,51,22,2.32,0,0,0,0.0,5,42,24,1.75,0,0,0,0.0,Güneş & Bronzlaşma,Aloe Vera Jeli,0
MST-00016,05556147581,Deniz Aydın,Kadın,18-24,AVM,Yaz,1,Akşam,2796,0.95,44,0.3,167.5,0,0,0,0.0,3,58,47,1.23,4,66,26,2.54,4,33,24,1.38,5,42,28,1.5,3,9,27,0.33,4,59,15,3.93,5,31,57,0.54,0,0,0,0.0,0,0,0,0.0,Ağız Bakımı,Diş Macunu,1
MST-00017,05359242680,Merve Yıldırım,Kadın,18-24,AVM,İlkbahar,1,Öğle,239,0.63,44,0.62,4229.63,4,68,52,1.31,1,71,0,0.0,1,24,0,0.0,3,20,16,1.25,1,39,0,0.0,3,42,39,1.08,4,41,36,1.14,5,46,59,0.78,1,74,0,0.0,0,0,0,0.0,Aksesuar & Güzellik Aletleri,Gua Sha Taşı,1
MST-00018,05353428388,Deniz Çelik,Kadın,25-34,AVM,İlkbahar,0,Akşam,2358,0.18,69,0.97,800.96,2,41,40,1.02,3,38,59,0.64,1,4,0,0.0,5,40,28,1.43,4,42,29,1.45,2,28,48,0.58,4,19,16,1.19,2,72,41,1.76,1,40,0,0.0,0,0,0,0.0,Parfüm,EDT Parfüm,0
MST-00019,05353663046,Zeynep Kılıç,Kadın,25-34,AVM,İlkbahar,1,Öğle,671,0.3,119,0.92,796.56,9,51,32,1.59,1,29,0,0.0,1,87,0,0.0,5,12,35,0.34,2,17,16,1.06,4,67,20,3.35,4,23,29,0.79,3,3,19,0.16,5,61,52,1.17,1,10,0,0.0,Güneş & Bronzlaşma,Aloe Vera Jeli,1
MST-00020,05446499720,Elif Doğan,Kadın,35-49,AVM,İlkbahar,0,Akşam,2619,0.65,93,0.88,3709.89,7,88,31,2.84,0,0,0,0.0,1,4,0,0.0,3,49,49,1.0,2,44,41,1.07,3,23,48,0.48,2,68,43,1.58,4,63,48,1.31,2,7,31,0.23,0,0,0,0.0,Aksesuar & Güzellik Aletleri,Cımbız,0
MST-00021,05557640913,Ece Şimşek,Kadın,25-34,AVM,İlkbahar,0,Öğle,2461,0.4,53,0.58,1609.44,6,67,39,1.72,5,65,29,2.24,5,21,51,0.41,4,34,42,0.81,5,17,48,0.35,1,10,0,0.0,0,0,0,0.0,0,0,0,0.0,3,27,16,1.69,0,0,0,0.0,Parfüm,EDP Parfüm,1
MST-00022,05424416664,Kübra Kaya,Kadın,25-34,AVM,Sonbahar,0,Sabah,3393,0.58,13,0.37,1577.56,8,15,40,0.38,5,43,46,0.93,1,27,0,0.0,4,53,50,1.06,3,28,35,0.8,1,5,0,0.0,3,74,57,1.3,1,52,0,0.0,0,0,0,0.0,0,0,0,0.0,Vücut Bakımı & Banyo,Duş Jeli,0
MST-00023,05424385357,Selin Kurt,Kadın,50+,Cadde,Sonbahar,0,Öğle,401,0.82,44,0.74,2857.42,11,56,32,1.75,1,27,0,0.0,4,11,23,0.48,5,60,55,1.09,2,25,51,0.49,1,2,0,0.0,3,72,32,2.25,1,47,0,0.0,4,65,46,1.41,0,0,0,0.0,Vücut Bakımı & Banyo,Duş Jeli,0
MST-00024,05322465689,Elif Kılıç,Kadın,35-49,AVM,Kış,1,Öğle,2106,0.81,4,0.45,406.82,0,0,0,0.0,0,0,0,0.0,3,62,41,1.51,3,66,59,1.12,1,18,0,0.0,2,25,26,0.96,2,34,24,1.42,3,23,15,1.53,3,68,27,2.52,0,0,0,0.0,Vücut Bakımı & Banyo,Banyo Bombası,1
MST-00025,05442825665,Zeynep Kurt,Kadın,50+,Cadde,Sonbahar,0,Akşam,4148,0.73,70,0.8,1180.78,1,74,0,0.0,1,69,0,0.0,3,64,26,2.46,4,28,34,0.82,4,39,56,0.7,5,60,36,1.67,5,18,33,0.55,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,Parfüm,Vücut Spreyi (Body Mist),1
MST-00026,05425056518,Yusuf Şimşek,Erkek,25-34,AVM,Yaz,0,Sabah,1087,0.9,51,0.11,381.73,0,0,0,0.0,4,3,40,0.08,3,88,48,1.83,3,83,21,3.95,2,82,21,3.9,2,87,36,2.42,3,33,24,1.38,1,39,0,0.0,0,0,0,0.0,1,34,0,0.0,Ağız Bakımı,Diş Macunu,1
MST-00027,05425997895,Ece Özkan,Kadın,18-24,Cadde,Kış,1,Akşam,1142,0.28,102,0.58,1418.07,0,0,0,0.0,2,29,35,0.83,1,27,0,0.0,5,56,36,1.56,3,76,49,1.55,5,67,21,3.19,1,55,0,0.0,3,82,55,1.49,1,79,0,0.0,0,0,0,0.0,Vücut Bakımı & Banyo,Banyo Bombası,1
MST-00028,05557397986,Esra Demir,Kadın,18-24,Cadde,Sonbahar,1,Akşam,4381,0.26,70,0.4,3934.2,7,65,39,1.67,0,0,0,0.0,1,64,0,0.0,0,0,0,0.0,1,39,0,0.0,3,53,45,1.18,3,82,36,2.28,5,12,51,0.24,3,74,15,4.93,0,0,0,0.0,Güneş & Bronzlaşma,Yüz Güneş Kremi,0
MST-00029,05522870928,Fatma Öztürk,Kadın,35-49,Cadde,Kış,1,Akşam,2065,0.82,11,0.32,4105.6,11,2,39,0.05,2,60,36,1.67,4,36,54,0.67,5,11,42,0.26,2,49,15,3.27,1,17,0,0.0,5,30,44,0.68,4,41,54,0.76,5,72,36,2.0,0,0,0,0.0,El & Ayak Bakımı,Oje,1
MST-00030,05427249859,Melike Demir,Kadın,18-24,Cadde,Kış,0,Akşam,3908,0.39,91,0.7,1496.05,3,11,41,0.27,3,84,59,1.42,5,62,23,2.7,5,43,34,1.26,0,0,0,0.0,1,41,0,0.0,0,0,0,0.0,5,78,19,4.11,0,0,0,0.0,0,0,0,0.0,Ağız Bakımı,Diş Macunu,0
MST-00031,05323305413,Sümeyye Çelik,Kadın,25-34,AVM,İlkbahar,1,Öğle,4255,0.56,54,0.69,966.0,6,76,49,1.55,0,0,0,0.0,3,47,57,0.82,3,48,46,1.04,0,0,0,0.0,4,33,41,0.8,5,22,29,0.76,3,44,51,0.86,2,15,20,0.75,0,0,0,0.0,Ağız Bakımı,Diş İpi,1
MST-00032,05526558019,İrem Aydın,Kadın,25-34,Cadde,Kış,0,Akşam,3959,0.77,110,0.13,738.45,9,42,57,0.74,3,70,51,1.37,5,66,27,2.44,5,58,33,1.76,3,14,55,0.25,2,5,43,0.12,3,16,17,0.94,2,18,35,0.51,3,68,20,3.4,0,0,0,0.0,Cilt Bakımı,Tonik,1
MST-00033,05521271836,Selin Doğan,Kadın,25-34,Cadde,Sonbahar,0,Gece,141,0.46,62,0.95,1865.72,0,0,0,0.0,4,81,25,3.24,2,41,57,0.72,4,57,42,1.36,0,0,0,0.0,3,87,50,1.74,0,0,0,0.0,4,63,48,1.31,3,13,51,0.25,0,0,0,0.0,Aksesuar & Güzellik Aletleri,Cımbız,0
MST-00034,05558281369,Burak Doğan,Erkek,25-34,Cadde,İlkbahar,1,Akşam,396,0.22,59,0.43,3744.87,0,0,0,0.0,5,47,51,0.92,1,45,0,0.0,1,14,0,0.0,0,0,0,0.0,3,73,31,2.35,4,80,48,1.67,1,65,0,0.0,5,20,24,0.83,4,68,46,1.48,Erkek Bakım,Sakal Yağı,0
MST-00035,05429585377,Mert Yıldırım,Erkek,18-24,Cadde,Sonbahar,1,Akşam,2627,0.71,99,0.93,3859.09,0,0,0,0.0,4,68,44,1.55,0,0,0,0.0,2,88,36,2.44,1,8,0,0.0,2,70,27,2.59,2,39,47,0.83,5,84,37,2.27,0,0,0,0.0,0,0,0,0.0,Parfüm,EDT Parfüm,1
MST-00036,05322271741,Onur Demir,Erkek,25-34,AVM,İlkbahar,1,Akşam,4629,0.84,61,0.63,349.79,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,5,54,16,3.38,1,30,0,0.0,5,6,44,0.14,1,83,0,0.0,3,62,20,3.1,3,45,22,2.05,6,43,30,1.43,Saç Bakımı,Saç Kremi,1
MST-00037,05422046797,Gizem Yıldız,Kadın,25-34,Cadde,Sonbahar,0,Öğle,1555,0.11,40,0.69,1060.15,10,82,48,1.71,0,0,0,0.0,0,0,0,0.0,2,2,35,0.06,5,67,53,1.26,1,73,0,0.0,5,63,24,2.62,0,0,0,0.0,1,63,0,0.0,0,0,0,0.0,Parfüm,EDP Parfüm,0
MST-00038,05551564685,Bahar Öztürk,Kadın,50+,AVM,İlkbahar,1,Akşam,2508,0.61,4,0.96,1033.79,9,37,34,1.09,2,64,59,1.08,4,71,36,1.97,2,42,20,2.1,4,82,39,2.1,0,0,0,0.0,3,33,48,0.69,0,0,0,0.0,1,56,0,0.0,0,0,0,0.0,Ağız Bakımı,Diş Macunu,1
MST-00039,05556596411,Büşra Çetin,Kadın,35-49,AVM,İlkbahar,1,Gece,4381,0.52,27,0.84,3753.67,11,7,29,0.24,3,78,26,3.0,2,81,57,1.42,2,7,47,0.15,4,69,34,2.03,5,13,53,0.25,1,15,0,0.0,1,89,0,0.0,4,81,15,5.4,0,0,0,0.0,Cilt Bakımı,Yüz Kremi,1
MST-00040,05302007293,İrem Aydın,Kadın,50+,AVM,Yaz,0,Sabah,1028,0.33,16,0.23,2134.87,2,38,21,1.81,2,71,41,1.73,1,68,0,0.0,1,9,0,0.0,4,1,51,0.02,5,3,48,0.06,3,25,15,1.67,4,84,57,1.47,1,57,0,0.0,0,0,0,0.0,Makyaj,BB/CC Krem,1
MST-00041,05449411855,Bahar Öztürk,Kadın,35-49,Cadde,Sonbahar,0,Akşam,2176,0.24,82,0.1,1752.52,8,58,27,2.15,0,0,0,0.0,4,40,20,2.0,5,33,17,1.94,1,80,0,0.0,3,73,36,2.03,4,31,22,1.41,5,52,37,1.41,4,87,19,4.58,0,0,0,0.0,Vücut Bakımı & Banyo,Banyo Bombası,0
MST-00042,05448807313,Deniz Kaya,Kadın,25-34,AVM,Kış,1,Öğle,670,0.27,7,0.38,4311.24,4,5,50,0.1,5,51,15,3.4,3,64,42,1.52,2,68,38,1.79,1,86,0,0.0,5,14,20,0.7,0,0,0,0.0,3,30,49,0.61,4,89,46,1.93,0,0,0,0.0,Saç Bakımı,Saç Kremi,0
MST-00043,05553630708,Sümeyye Kaya,Kadın,18-24,AVM,İlkbahar,0,Öğle,4594,0.75,11,0.54,4175.3,4,61,54,1.13,2,67,59,1.14,3,52,30,1.73,5,64,26,2.46,1,36,0,0.0,2,67,44,1.52,5,44,28,1.57,2,59,56,1.05,0,0,0,0.0,0,0,0,0.0,Saç Bakımı,Saç Bakım Yağı,0
MST-00044,05322767640,Berk Kılıç,Erkek,25-34,AVM,Sonbahar,1,Akşam,1855,0.58,72,0.76,2064.46,0,0,0,0.0,0,0,0,0.0,1,43,0,0.0,0,0,0,0.0,0,0,0,0.0,1,36,0,0.0,2,50,17,2.94,5,42,48,0.88,4,41,18,2.28,2,33,38,0.87,Parfüm,Vücut Spreyi (Body Mist),1
MST-00045,05427723771,Kübra Demir,Kadın,25-34,Cadde,İlkbahar,0,Akşam,3429,0.98,64,0.69,708.24,4,77,27,2.85,1,72,0,0.0,5,62,37,1.68,4,8,36,0.22,4,46,55,0.84,1,84,0,0.0,2,16,26,0.62,4,24,35,0.69,0,0,0,0.0,0,0,0,0.0,Cilt Bakımı,Cilt Serumu,0
MST-00046,05422285160,Esra Özkan,Kadın,25-34,Cadde,Yaz,1,Akşam,2078,0.32,52,0.38,893.87,0,0,0,0.0,3,24,54,0.44,1,55,0,0.0,3,59,34,1.74,5,44,54,0.81,5,46,41,1.12,1,73,0,0.0,2,88,18,4.89,4,31,42,0.74,0,0,0,0.0,Ağız Bakımı,Diş İpi,0
MST-00047,05447080526,Deniz Yıldırım,Kadın,25-34,AVM,Yaz,1,Gece,2006,0.96,6,0.59,637.57,9,28,27,1.04,4,77,43,1.79,0,0,0,0.0,1,9,0,0.0,0,0,0,0.0,1,82,0,0.0,0,0,0,0.0,3,23,36,0.64,2,13,51,0.25,0,0,0,0.0,Cilt Bakımı,Kağıt Maske,1
MST-00048,05442425472,Defne Kılıç,Kadın,25-34,AVM,Yaz,0,Öğle,1688,0.56,48,0.69,3110.19,1,57,0,0.0,4,77,40,1.92,2,42,56,0.75,2,12,18,0.67,4,10,46,0.22,4,1,25,0.04,2,50,32,1.56,0,0,0,0.0,4,64,23,2.78,0,0,0,0.0,Vücut Bakımı & Banyo,Vücut Peelingi,0
MST-00049,05307556168,Selin Şahin,Kadın,25-34,Cadde,Yaz,1,Akşam,4431,0.23,69,0.56,2562.89,0,0,0,0.0,2,65,40,1.62,0,0,0,0.0,2,58,40,1.45,3,8,21,0.38,5,20,27,0.74,1,30,0,0.0,0,0,0,0.0,5,18,41,0.44,0,0,0,0.0,Erkek Bakım,Tıraş Sonrası Losyon,0
MST-00050,05303230919,Kübra Şahin,Kadın,25-34,Cadde,Kış,0,Öğle,569,0.23,6,0.72,2571.4,1,70,0,0.0,5,53,34,1.56,2,48,25,1.92,2,49,30,1.63,0,0,0,0.0,1,88,0,0.0,0,0,0,0.0,0,0,0,0.0,3,82,18,4.56,0,0,0,0.0,El & Ayak Bakımı,Aseton,1
MST-00051,05552737095,Kerem Kurt,Erkek,18-24,Cadde,Kış,0,Öğle,4694,0.65,102,0.54,577.94,0,0,0,0.0,4,41,58,0.71,4,46,22,2.09,5,44,34,1.29,4,17,26,0.65,4,19,34,0.56,4,42,16,2.62,0,0,0,0.0,0,0,0,0.0,5,54,50,1.08,Saç Bakımı,Kuru Şampuan,1
MST-00052,05355780450,Kuzey Aydın,Erkek,35-49,AVM,İlkbahar,0,Öğle,1146,0.85,61,0.58,3600.75,0,0,0,0.0,1,32,0,0.0,4,53,45,1.18,4,11,50,0.22,2,56,48,1.17,5,69,16,4.31,4,77,29,2.66,1,32,0,0.0,1,47,0,0.0,0,0,0,0.0,Parfüm,EDT Parfüm,0
MST-00053,05303109818,Tolga Aslan,Erkek,18-24,Cadde,Sonbahar,0,Akşam,3774,0.77,66,0.95,2479.74,0,0,0,0.0,1,69,0,0.0,5,64,50,1.28,1,16,0,0.0,3,75,32,2.34,2,89,42,2.12,1,1,0,0.0,4,69,18,3.83,2,70,27,2.59,1,19,0,0.0,Vücut Bakımı & Banyo,Vücut Peelingi,1
MST-00054,05443231785,Tolga Kılıç,Erkek,18-24,AVM,Yaz,1,Akşam,864,0.69,95,0.45,545.72,1,89,0,0.0,2,71,46,1.54,2,20,22,0.91,0,0,0,0.0,0,0,0,0.0,1,88,0,0.0,5,64,25,2.56,3,15,23,0.65,2,69,19,3.63,4,8,48,0.17,Erkek Bakım,Tıraş Sonrası Losyon,0
MST-00055,05554853339,Ece Öztürk,Kadın,25-34,AVM,Yaz,1,Akşam,4900,0.25,103,0.78,3400.02,1,55,0,0.0,4,45,56,0.8,4,29,38,0.76,3,38,58,0.66,0,0,0,0.0,2,40,45,0.89,4,42,35,1.2,4,10,46,0.22,1,71,0,0.0,0,0,0,0.0,Cilt Bakımı,Temizleme Jeli,1
MST-00056,05551996107,Emre Koç,Erkek,25-34,AVM,Kış,0,Akşam,4409,0.2,96,0.4,4418.65,0,0,0,0.0,4,32,32,1.0,2,54,41,1.32,0,0,0,0.0,2,11,48,0.23,3,60,34,1.76,5,77,15,5.13,1,33,0,0.0,4,35,32,1.09,0,0,0,0.0,Erkek Bakım,Erkek Deodorant,0
MST-00057,05328130144,Defne Demir,Kadın,25-34,AVM,Kış,0,Sabah,27,0.1,73,0.4,2069.14,8,82,26,3.15,0,0,0,0.0,5,53,43,1.23,0,0,0,0.0,1,85,0,0.0,5,28,59,0.47,3,35,34,1.03,0,0,0,0.0,4,1,38,0.03,0,0,0,0.0,Parfüm,Vücut Spreyi (Body Mist),1
MST-00058,05554747389,Fatma Çelik,Kadın,18-24,Cadde,Yaz,0,Akşam,1029,0.19,79,0.93,653.1,7,1,18,0.06,2,14,43,0.33,5,83,58,1.43,5,73,25,2.92,2,26,39,0.67,1,26,0,0.0,3,46,40,1.15,4,23,54,0.43,0,0,0,0.0,0,0,0,0.0,Cilt Bakımı,Göz Çevresi Kremi,1
MST-00059,05447245035,Merve Yıldız,Kadın,25-34,AVM,Sonbahar,1,Öğle,1996,0.79,85,0.73,591.09,9,3,47,0.06,0,0,0,0.0,5,8,32,0.25,2,59,30,1.97,1,56,0,0.0,4,27,22,1.23,0,0,0,0.0,5,62,32,1.94,1,78,0,0.0,0,0,0,0.0,Vücut Bakımı & Banyo,Vücut Peelingi,1
MST-00060,05523121690,Gamze Şimşek,Kadın,25-34,AVM,İlkbahar,1,Öğle,1341,0.91,110,0.94,262.58,3,71,46,1.54,1,50,0,0.0,4,20,23,0.87,1,7,0,0.0,5,81,35,2.31,3,80,40,2.0,4,79,30,2.63,1,12,0,0.0,2,56,57,0.98,0,0,0,0.0,Vücut Bakımı & Banyo,Banyo Bombası,1
MST-00061,05351491234,Zeynep Kılıç,Kadın,50+,AVM,İlkbahar,1,Akşam,1248,0.32,53,1.0,3501.23,5,85,31,2.74,5,40,45,0.89,5,65,50,1.3,2,26,55,0.47,0,0,0,0.0,2,11,58,0.19,2,58,40,1.45,3,30,28,1.07,0,0,0,0.0,0,0,0,0.0,Saç Bakımı,Şampuan,0
MST-00062,05446401218,İrem Şimşek,Kadın,50+,AVM,İlkbahar,1,Akşam,2136,0.82,28,0.1,3168.9,10,14,23,0.61,2,1,57,0.02,3,80,52,1.54,3,76,57,1.33,1,83,0,0.0,0,0,0,0.0,1,79,0,0.0,4,11,40,0.28,4,19,25,0.76,0,0,0,0.0,El & Ayak Bakımı,Aseton,0
MST-00063,05307914550,Arda Koç,Erkek,25-34,AVM,İlkbahar,0,Akşam,2087,0.28,109,0.98,2691.44,0,0,0,0.0,5,47,55,0.85,1,58,0,0.0,5,80,15,5.33,2,6,45,0.13,2,70,37,1.89,2,64,41,1.56,5,42,59,0.71,1,51,0,0.0,3,22,56,0.39,Erkek Bakım,Tıraş Sonrası Losyon,0
